1/3/2014	1  5
1/4/2014	9  5
1/5/2014	1  5
1/8/2014	5 9
1/10/2014	5 9
1/11/2014	9 5
1/15/2014	5 9
1/17/2014	5  9
1/18/2014	9  5
1/19/2014	1  5
1/22/2014	5 9
1/24/2014	5 9
1/25/2014	9  5
1/29/2014	5 9
1/31/2014	5  9
2/1/2014	9  5
2/5/2014	5 9
2/7/2014	5  9
2/8/2014	9  5
2/9/2014	1  7
2/12/2014	5  9
2/14/2014	9  9
2/15/2014	9  9	
2/16/2014       9  12
2/17/2014	9 10
2/18/2014	3 12
2/26/2014	5  9
3/7/2014	5  9
3/8/2014	2  9
3/9/2014	1 5
3/10/2014	1 5
3/11/2014	1 5
3/12/2014	5 12
3/23/2014	10  5
3/27/2014	1 5
3/29/2014	1 5
3/30/2014	1 5
4/2/2014	3 9
4/9/2014	5 9
4/2/2014	3 9
4/9/2014	5 9
